Package,LibPath,Version,Priority,Depends,Imports,LinkingTo,Suggests,Enhances,License,License_is_FOSS,License_restricts_use,OS_type,MD5sum,NeedsCompilation,Built
broom,/usr/local/lib/R/site-library,1.0.1,,R (>= 3.1),"backports, dplyr (>= 1.0.0), ellipsis, generics (>= 0.0.2),
glue, purrr, rlang, stringr, tibble (>= 3.0.0), tidyr (>=
1.0.0), ggplot2",,"AER, AUC, bbmle, betareg, biglm, binGroup, boot, btergm (>=
1.10.6), car, carData, caret, cluster, cmprsk, coda, covr, drc,
e1071, emmeans, epiR, ergm (>= 3.10.4), fixest (>= 0.9.0), gam
(>= 1.15), gee, geepack, glmnet, glmnetUtils, gmm, Hmisc,
irlba, interp, joineRML, Kendall, knitr, ks, Lahman, lavaan,
leaps, lfe, lm.beta, lme4, lmodel2, lmtest (>= 0.9.38),
lsmeans, maps, maptools, margins, MASS, mclust, mediation,
metafor, mfx, mgcv, mlogit, modeldata, modeltests, muhaz,
multcomp, network, nnet, orcutt (>= 2.2), ordinal, plm, poLCA,
psych, quantreg, rgeos, rmarkdown, robust, robustbase, rsample,
sandwich, sp, spdep (>= 1.1), spatialreg, speedglm, spelling,
survey, survival, systemfit, testthat (>= 2.1.0), tseries,
vars, zoo",,MIT + file LICENSE,,,,,no,4.2.1
bslib,/usr/local/lib/R/site-library,0.4.2,,R (>= 2.10),"grDevices, htmltools (>= 0.5.4), jsonlite, sass (>= 0.4.0),
jquerylib (>= 0.1.3), rlang, cachem, memoise (>= 2.0.1),
base64enc, mime",,"shiny (>= 1.6.0), rmarkdown (>= 2.7), thematic, knitr,
testthat, withr, rappdirs, curl, magrittr, fontawesome, bsicons",,MIT + file LICENSE,,,,,no,4.2.2
cachem,/usr/local/lib/R/site-library,1.0.7,,,"rlang, fastmap",,testthat,,MIT + file LICENSE,,,,,yes,4.2.2
callr,/usr/local/lib/R/site-library,3.7.3,,R (>= 3.4),"processx (>= 3.6.1), R6, utils",,"asciicast, cli (>= 1.1.0), covr, mockery, ps, rprojroot,
spelling, testthat (>= 3.0.0), withr (>= 2.3.0)",,MIT + file LICENSE,,,,,no,4.2.2
car,/usr/local/lib/R/site-library,3.1-1,,"R (>= 3.5.0), carData (>= 3.0-0)","abind, MASS, mgcv, nnet, pbkrtest (>= 0.4-4), quantreg,
grDevices, utils, stats, graphics, lme4 (>= 1.1-27.1), nlme,
scales",,"alr4, boot, coxme, effects, knitr, leaps, lmtest, Matrix,
MatrixModels, mvtnorm, rgl (>= 0.93.960), rio, sandwich,
SparseM, survival, survey",,GPL (>= 2),,,,,no,4.2.1
carData,/usr/local/lib/R/site-library,3.0-5,,R (>= 3.5.0),,,car (>= 3.0-0),,GPL (>= 2),,,,,no,4.2.1
caret,/usr/local/lib/R/site-library,6.0-93,,"ggplot2, lattice (>= 0.20), R (>= 3.2.0)","e1071, foreach, grDevices, methods, ModelMetrics (>= 1.2.2.2),
nlme, plyr, pROC, recipes (>= 0.1.10), reshape2, stats, stats4,
utils, withr (>= 2.0.0)",,"BradleyTerry2, covr, Cubist, dplyr, earth (>= 2.2-3),
ellipse, fastICA, gam (>= 1.15), ipred, kernlab, klaR, knitr,
MASS, Matrix, mda, mgcv, mlbench, MLmetrics, nnet, pamr, party
(>= 0.9-99992), pls, proxy, randomForest, RANN, rmarkdown,
rpart, spls, subselect, superpc, testthat (>= 0.9.1), themis
(>= 0.1.3)",,GPL (>= 2),,,,,yes,4.2.1
checkmate,/usr/local/lib/R/site-library,2.1.0,,R (>= 3.0.0),"backports (>= 1.1.0), utils",,"R6, fastmatch, data.table (>= 1.9.8), devtools, ggplot2,
knitr, magrittr, microbenchmark, rmarkdown, testthat (>=
3.0.4), tinytest (>= 1.1.0), tibble",,BSD_3_clause + file LICENSE,,,,,yes,4.2.1
classInt,/usr/local/lib/R/site-library,0.4-9,,R (>= 2.2),"grDevices, stats, graphics, e1071, class, KernSmooth",,"spData (>= 0.2.6.2), units, knitr, rmarkdown, tinytest",,GPL (>= 2),,,,,yes,4.2.2
cli,/usr/local/lib/R/site-library,3.6.0,,R (>= 3.4),utils,,"callr, covr, crayon, digest, glue (>= 1.6.0), grDevices,
htmltools, htmlwidgets, knitr, methods, mockery, processx, ps
(>= 1.3.4.9000), rlang (>= 1.0.2.9003), rmarkdown, rprojroot,
rstudioapi, testthat, tibble, whoami, withr",,MIT + file LICENSE,,,,,yes,4.2.2
clipr,/usr/local/lib/R/site-library,0.8.0,,,utils,,"covr, knitr, rmarkdown, rstudioapi (>= 0.5), testthat (>=
2.0.0)",,GPL-3,,,,,no,4.2.1
clisymbols,/usr/local/lib/R/site-library,1.2.0,,,,,testthat,,MIT + file LICENSE,,,,,no,4.2.1
clock,/usr/local/lib/R/site-library,0.6.1,,R (>= 3.4),"rlang (>= 1.0.4), tzdb (>= 0.3.0), vctrs (>= 0.4.1)","cpp11 (>= 0.4.2), tzdb (>= 0.3.0)","covr, knitr, magrittr, pillar, rmarkdown, testthat (>=
3.0.0), withr",,MIT + file LICENSE,,,,,yes,4.2.2
colorspace,/usr/local/lib/R/site-library,2.1-0,,"R (>= 3.0.0), methods","graphics, grDevices, stats",,"datasets, utils, KernSmooth, MASS, kernlab, mvtnorm, vcd,
tcltk, shiny, shinyjs, ggplot2, dplyr, scales, grid, png, jpeg,
knitr, rmarkdown, RColorBrewer, rcartocolor, scico, viridis,
wesanderson",,BSD_3_clause + file LICENSE,,,,,yes,4.2.2
commonmark,/usr/local/lib/R/site-library,1.8.1,,,,,"curl, testthat, xml2",,BSD_2_clause + file LICENSE,,,,,yes,4.2.1
conditionz,/usr/local/lib/R/site-library,0.1.0,,R(>= 3.2.1),"R6, uuid",,testthat,,MIT + file LICENSE,,,,,no,4.2.1
corrplot,/usr/local/lib/R/site-library,0.92,,,,,"seriation, knitr, RColorBrewer, rmarkdown, magrittr,
prettydoc, testthat",,MIT + file LICENSE,,,,,no,4.2.1
covr,/usr/local/lib/R/site-library,3.6.1,,"R (>= 3.1.0), methods","digest, stats, utils, jsonlite, rex, httr, crayon, withr (>=
1.0.2), yaml",,"R6, curl, knitr, rmarkdown, htmltools, DT (>= 0.2), testthat,
rlang, rstudioapi (>= 0.2), xml2 (>= 1.0.0), parallel, memoise,
mockery, covr",,MIT + file LICENSE,,,,,yes,4.2.1
cowplot,/usr/local/lib/R/site-library,1.1.1,,R (>= 3.5.0),"ggplot2 (> 2.2.1), grid, gtable, grDevices, methods, rlang,
scales",,"Cairo, covr, dplyr, forcats, gridGraphics (>= 0.4-0), knitr,
lattice, magick, maps, PASWR, patchwork, rmarkdown, ragg,
testthat (>= 1.0.0), tidyr, vdiffr (>= 0.3.0), VennDiagram",,GPL-2,,,,,no,4.2.1
cpp11,/usr/local/lib/R/site-library,0.4.3,,,,,"bench, brio, callr, cli, covr, decor, desc, ggplot2, glue,
knitr, lobstr, mockery, progress, rmarkdown, scales, Rcpp,
testthat, tibble, utils, vctrs, withr",,MIT + file LICENSE,,,,,no,4.2.1
crayon,/usr/local/lib/R/site-library,1.5.2,,,"grDevices, methods, utils",,"mockery, rstudioapi, testthat, withr",,MIT + file LICENSE,,,,,no,4.2.1
credentials,/usr/local/lib/R/site-library,1.3.2,,,"openssl (>= 1.3), sys (>= 2.1), curl, jsonlite, askpass",,"testthat, knitr, rmarkdown",,MIT + file LICENSE,,,,,no,4.2.1
crosstalk,/usr/local/lib/R/site-library,1.2.0,,,"htmltools (>= 0.3.6), jsonlite, lazyeval, R6",,"shiny, ggplot2, testthat (>= 2.1.0), sass, bslib",,MIT + file LICENSE,,,,,no,4.2.1
crul,/usr/local/lib/R/site-library,1.3,,,"curl (>= 3.3), R6 (>= 2.2.0), urltools (>= 1.6.0), httpcode
(>= 0.2.0), jsonlite, mime",,"testthat, roxygen2 (>= 7.1.1), fauxpas (>= 0.1.0), webmockr
(>= 0.1.0), knitr, rmarkdown",,MIT + file LICENSE,,,,,no,4.2.1
curl,/usr/local/lib/R/site-library,5.0.0,,R (>= 3.0.0),,,"spelling, testthat (>= 1.0.0), knitr, jsonlite, rmarkdown,
magrittr, httpuv (>= 1.4.4), webutils",,MIT + file LICENSE,,,,,yes,4.2.2
cyclocomp,/usr/local/lib/R/site-library,1.1.0,,,"callr, crayon, desc, remotes, withr",,testthat,,MIT + file LICENSE,,,,,no,4.2.1
data.table,/usr/local/lib/R/site-library,1.14.8,,R (>= 3.1.0),methods,,"bit64 (>= 4.0.0), bit (>= 4.0.4), curl, R.utils, xts,
nanotime, zoo (>= 1.8-1), yaml, knitr, rmarkdown",,MPL-2.0 | file LICENSE,,,,,yes,4.2.2
DBI,/usr/local/lib/R/site-library,1.1.3,,"methods, R (>= 3.0.0)",,,"blob, covr, DBItest, dbplyr, downlit, dplyr, glue, hms,
knitr, magrittr, RMariaDB, rmarkdown, rprojroot, RSQLite (>=
1.1-2), testthat, xml2",,LGPL (>= 2.1),,,,,no,4.2.1
deldir,/usr/local/lib/R/site-library,1.0-6,,R (>= 3.5.0),"graphics, grDevices",,polyclip,,GPL (>= 2),,,,,yes,4.2.1
desc,/usr/local/lib/R/site-library,1.4.2,,R (>= 3.4),"cli, R6, rprojroot, utils",,"callr, covr, gh, spelling, testthat, whoami, withr",,MIT + file LICENSE,,,,,no,4.2.1
devtools,/usr/local/lib/R/site-library,2.4.5,,"R (>= 3.0.2), usethis (>= 2.1.6)","cli (>= 3.3.0), desc (>= 1.4.1), ellipsis (>= 0.3.2), fs (>=
1.5.2), lifecycle (>= 1.0.1), memoise (>= 2.0.1), miniUI (>=
0.1.1.1), pkgbuild (>= 1.3.1), pkgdown (>= 2.0.6), pkgload (>=
1.3.0), profvis (>= 0.3.7), rcmdcheck (>= 1.4.0), remotes (>=
2.4.2), rlang (>= 1.0.4), roxygen2 (>= 7.2.1), rversions (>=
2.1.1), sessioninfo (>= 1.2.2), stats, testthat (>= 3.1.5),
tools, urlchecker (>= 1.0.1), utils, withr (>= 2.5.0)",,"BiocManager (>= 1.30.18), callr (>= 3.7.1), covr (>= 3.5.1),
curl (>= 4.3.2), digest (>= 0.6.29), DT (>= 0.23), foghorn (>=
1.4.2), gh (>= 1.3.0), gmailr (>= 1.0.1), httr (>= 1.4.3),
knitr (>= 1.39), lintr (>= 3.0.0), MASS, mockery (>= 0.4.3),
pingr (>= 2.0.1), rhub (>= 1.1.1), rmarkdown (>= 2.14),
rstudioapi (>= 0.13), spelling (>= 2.2)",,MIT + file LICENSE,,,,,no,4.2.1
diffobj,/usr/local/lib/R/site-library,0.3.5,,R (>= 3.1.0),"crayon (>= 1.3.2), tools, methods, utils, stats",,"knitr, rmarkdown",,GPL-2 | GPL-3,,,,,yes,4.2.1
diffviewer,/usr/local/lib/R/site-library,0.1.1,,,"htmlwidgets, jsonlite",,"covr, shiny",,MIT + file LICENSE,,,,,no,4.2.1
digest,/usr/local/lib/R/site-library,0.6.31,,R (>= 3.3.0),utils,,"tinytest, simplermarkdown",,GPL (>= 2),,,,,yes,4.2.2
dismo,/usr/local/lib/R/site-library,1.3-9,,"R (>= 3.6.3), raster (>= 3.5-21), sp (>= 1.4-5)","Rcpp, methods, terra (>= 1.5-34)",Rcpp,"rJava (>= 0.9-7), XML, ROCR, deldir, gstat, randomForest,
kernlab, jsonlite, gbm (>= 2.1.1)",,GPL (>= 3),,,,,yes,4.2.1
doParallel,/usr/local/lib/R/site-library,1.0.17,,"R (>= 2.14.0), foreach (>= 1.2.0), iterators (>= 1.0.0),
parallel, utils",,,"caret, mlbench, rpart, RUnit",compiler,GPL-2,,,,,no,4.2.1
doSNOW,/usr/local/lib/R/site-library,1.0.20,,"R (>= 2.5.0), foreach(>= 1.2.0), iterators(>= 1.0.0), snow(>=
0.3.0), utils",,,"compiler, RUnit, caret, mlbench, rpart, parallel",,GPL-2,,,,,no,4.2.1
dotCall64,/usr/local/lib/R/site-library,1.0-2,,R (>= 3.1),,,"microbenchmark, OpenMPController, RColorBrewer, roxygen2,
spam, testthat,",,GPL (>= 2),,,,,yes,4.2.1
downlit,/usr/local/lib/R/site-library,0.4.2,,R (>= 3.4.0),"brio, desc, digest, evaluate, fansi, memoise, rlang, vctrs,
withr, yaml",,"covr, htmltools, jsonlite, MASS, MassSpecWavelet, pkgload,
rmarkdown, testthat (>= 3.0.0), xml2",,MIT + file LICENSE,,,,,no,4.2.1
dplyr,/usr/local/lib/R/site-library,1.0.10,,R (>= 3.4.0),"generics, glue (>= 1.3.2), lifecycle (>= 1.0.1), magrittr (>=
1.5), methods, R6, rlang (>= 1.0.2), tibble (>= 2.1.3),
tidyselect (>= 1.1.1), utils, vctrs (>= 0.4.1), pillar (>=
1.5.1)",,"bench, broom, callr, covr, DBI, dbplyr (>= 1.4.3), ggplot2,
knitr, Lahman, lobstr, microbenchmark, nycflights13, purrr,
rmarkdown, RMySQL, RPostgreSQL, RSQLite, testthat (>= 3.1.1),
tidyr, withr",,MIT + file LICENSE,,,,,yes,4.2.1
DT,/usr/local/lib/R/site-library,0.27,,,"htmltools (>= 0.3.6), htmlwidgets (>= 1.3), jsonlite (>=
0.9.16), magrittr, crosstalk, jquerylib, promises",,"knitr (>= 1.8), rmarkdown, shiny (>= 1.6), bslib, future,
testit, tibble",,GPL-3 | file LICENSE,,,,,no,4.2.2
e1071,/usr/local/lib/R/site-library,1.7-12,,,"graphics, grDevices, class, stats, methods, utils, proxy",,"cluster, mlbench, nnet, randomForest, rpart, SparseM, xtable,
Matrix, MASS, slam",,GPL-2 | GPL-3,,,,,yes,4.2.2
earth,/usr/local/lib/R/site-library,5.3.1,,"R (>= 3.4.0), Formula (>= 1.2-3), plotmo (>= 3.6.0),
TeachingDemos (>= 2.10)",,,"gam (>= 1.20), mgcv (>= 1.8-26), mda (>= 0.5-2), MASS (>=
7.3-51)",,GPL-3,,,,,yes,4.2.1
elasticnet,/usr/local/lib/R/site-library,1.3,,"R (>= 2.10), lars",,,,,GPL (>= 2),,,,,no,4.2.2
ellipsis,/usr/local/lib/R/site-library,0.3.2,,R (>= 3.2),rlang (>= 0.3.0),,"covr, testthat",,MIT + file LICENSE,,,,,yes,4.2.1
ENMeval,/usr/local/lib/R/site-library,2.0.3,,"methods, R (>= 3.5.0), magrittr","sp, raster, dismo, doSNOW, doParallel, parallel, foreach,
utils, graphics, stats, grDevices, maxnet, dplyr, tidyr,
ggplot2, testthat, glmnet, rangeModelMetadata, rlang",,"rmarkdown, knitr, rJava (>= 0.5-0), spocc, RColorBrewer,
rasterVis, sf, blockCV, devtools, tibble, latticeExtra, ecospat",,GPL,,,,,no,4.2.1
evaluate,/usr/local/lib/R/site-library,0.20,,R (>= 3.0.2),methods,,"covr, ggplot2, lattice, testthat",,MIT + file LICENSE,,,,,no,4.2.2
fansi,/usr/local/lib/R/site-library,1.0.4,,R (>= 3.1.0),"grDevices, utils",,"unitizer, knitr, rmarkdown",,GPL-2 | GPL-3,,,,,yes,4.2.2
farver,/usr/local/lib/R/site-library,2.1.1,,,,,"covr, testthat (>= 3.0.0)",,MIT + file LICENSE,,,,,yes,4.2.1
fastmap,/usr/local/lib/R/site-library,1.1.1,,,,,testthat (>= 2.1.1),,MIT + file LICENSE,,,,,yes,4.2.2
fields,/usr/local/lib/R/site-library,14.1,,"R (>= 3.5.0), methods, spam, viridis",maps,,,,GPL (>= 2),,,,,yes,4.2.1
foghorn,/usr/local/lib/R/site-library,1.5.1,,R (>= 3.1.0),"clisymbols (>= 1.0.0), crayon (>= 1.3.2), curl (>= 2.2), httr2
(>= 0.2.1), rlang (>= 0.4.3), rvest (>= 0.3.2), tibble (>=
1.2), xml2 (>= 1.0.0)",,"covr, dplyr, knitr, progress, rmarkdown, testthat",,MIT + file LICENSE,,,,,no,4.2.2
fontawesome,/usr/local/lib/R/site-library,0.4.0,,R (>= 3.3.0),"rlang (>= 0.4.10), htmltools (>= 0.5.1.1)",,"covr, dplyr (>= 1.0.8), knitr (>= 1.31), testthat (>= 3.0.0),
rsvg",,MIT + file LICENSE,,,,,no,4.2.1
foreach,/usr/local/lib/R/site-library,1.5.2,,R (>= 2.5.0),"codetools, utils, iterators",,"randomForest, doMC, doParallel, testthat, knitr, rmarkdown",,Apache License (== 2.0),,,,,no,4.2.1
Formula,/usr/local/lib/R/site-library,1.2-5,,"R (>= 2.0.0), stats",,,,,GPL-2 | GPL-3,,,,,no,4.2.2
fs,/usr/local/lib/R/site-library,1.6.1,,R (>= 3.4),methods,,"covr, crayon, knitr, pillar (>= 1.0.0), rmarkdown, spelling,
testthat (>= 3.0.0), tibble (>= 1.1.0), vctrs (>= 0.3.0), withr",,MIT + file LICENSE,,,,,yes,4.2.2
fst,/usr/local/lib/R/site-library,0.9.8,,R (>= 3.0.0),"fstcore, Rcpp","Rcpp, fstcore","testthat, bit64, data.table, lintr, nanotime, crayon",,AGPL-3 | file LICENSE,,,,,yes,4.2.2
fstcore,/usr/local/lib/R/site-library,0.9.14,,R (>= 3.0.0),Rcpp,Rcpp,"testthat, lintr",,MPL-2.0 | file LICENSE,,,,,yes,4.2.2
future,/usr/local/lib/R/site-library,1.31.0,,,"digest, globals (>= 0.16.1), listenv (>= 0.8.0), parallel,
parallelly (>= 1.34.0), utils",,"methods, RhpcBLASctl, R.rsp, markdown",,LGPL (>= 2.1),,,,,no,4.2.2
future.apply,/usr/local/lib/R/site-library,1.10.0,,"R (>= 3.2.0), future (>= 1.28.0)","globals (>= 0.16.1), parallel, utils",,"datasets, stats, tools, listenv (>= 0.8.0), R.rsp, markdown",,GPL (>= 2),,,,,no,4.2.2
gam,/usr/local/lib/R/site-library,1.20.2,,"R (>= 3.5.0),stats, splines, foreach",,,"interp, testthat",,GPL-2,,,,,yes,4.2.1
gargle,/usr/local/lib/R/site-library,1.3.0,,R (>= 3.5),"cli (>= 3.0.0), fs (>= 1.3.1), glue (>= 1.3.0), httr (>=
1.4.0), jsonlite, lifecycle, openssl, rappdirs, rlang (>=
1.0.0), rstudioapi, stats, utils, withr",,"aws.ec2metadata, aws.signature, covr, httpuv, knitr, mockr,
rmarkdown, sodium, spelling, testthat (>= 3.1.2)",,MIT + file LICENSE,,,,,no,4.2.2
gbm,/usr/local/lib/R/site-library,2.1.8.1,,R (>= 2.9.0),"lattice, parallel, survival",,"covr, gridExtra, knitr, pdp, RUnit, splines, tinytest, vip,
viridis",,GPL (>= 2) | file LICENSE,,,,,yes,4.2.1
generics,/usr/local/lib/R/site-library,0.1.3,,R (>= 3.2),methods,,"covr, pkgload, testthat (>= 3.0.0), tibble, withr",,MIT + file LICENSE,,,,,no,4.2.1
geojsonsf,/usr/local/lib/R/site-library,2.0.3,,R (>= 3.3.0),Rcpp,"geometries, jsonify (>= 1.1.1), rapidjsonr (>= 1.2.0), Rcpp,
sfheaders (>= 0.2.2)","covr, jsonify, knitr, rmarkdown, tinytest",,MIT + file LICENSE,,,,,yes,4.2.2
geometries,/usr/local/lib/R/site-library,0.2.2,,,Rcpp (>= 1.0.10),Rcpp,"covr, knitr, rmarkdown, tinytest",,MIT + file LICENSE,,,,,yes,4.2.2
geometry,/usr/local/lib/R/site-library,0.4.7,,R (>= 3.0.0),"magic, Rcpp, lpSolve, linprog","Rcpp, RcppProgress","spelling, testthat, rgl, R.matlab, interp",,GPL (>= 3),,,,,yes,4.2.2
geosphere,/usr/local/lib/R/site-library,1.5-18,,R (>= 3.0.0),"Rcpp, sp",Rcpp,"methods, raster",,GPL (>= 3),,,,,yes,4.2.2
gert,/usr/local/lib/R/site-library,1.9.2,,,"askpass, credentials (>= 1.2.1), openssl (>= 2.0.3),
rstudioapi (>= 0.11), sys, zip (>= 2.1.0)",,"spelling, knitr, rmarkdown, testthat",,MIT + file LICENSE,,,,,yes,4.2.2
ggplot2,/usr/local/lib/R/site-library,3.4.0,,R (>= 3.3),"cli, glue, grDevices, grid, gtable (>= 0.1.1), isoband,
lifecycle (> 1.0.1), MASS, mgcv, rlang (>= 1.0.0), scales (>=
1.2.0), stats, tibble, vctrs (>= 0.5.0), withr (>= 2.5.0)",,"covr, dplyr, ggplot2movies, hexbin, Hmisc, knitr, lattice,
mapproj, maps, maptools, multcomp, munsell, nlme, profvis,
quantreg, ragg, RColorBrewer, rgeos, rmarkdown, rpart, sf (>=
0.7-3), svglite (>= 1.2.0.9001), testthat (>= 3.1.2), vdiffr
(>= 1.0.0), xml2",sp,MIT + file LICENSE,,,,,no,4.2.2
ggpubr,/usr/local/lib/R/site-library,0.4.0,,"R (>= 3.1.0), ggplot2","ggrepel, grid, ggsci, stats, utils, tidyr, purrr, dplyr (>=
0.7.1), cowplot, ggsignif, scales, gridExtra, glue, polynom,
rlang, rstatix (>= 0.6.0), tibble, magrittr",,"grDevices, knitr, RColorBrewer, gtable",,GPL-2,,,,,no,4.2.1
ggrepel,/usr/local/lib/R/site-library,0.9.1,,"R (>= 3.0.0), ggplot2 (>= 2.2.0)","grid, Rcpp, rlang (>= 0.3.0), scales (>= 0.5.0)",Rcpp,"knitr, rmarkdown, testthat, gridExtra, devtools, prettydoc,
ggbeeswarm, dplyr, magrittr, readr, stringr",,GPL-3 | file LICENSE,,,,,yes,4.2.1
ggsci,/usr/local/lib/R/site-library,2.9,,R (>= 3.0.2),"grDevices, scales, ggplot2 (>= 2.0.0)",,"knitr, rmarkdown, gridExtra, reshape2",,GPL-3 | file LICENSE,,,,,no,4.2.1
ggsignif,/usr/local/lib/R/site-library,0.6.4,,,ggplot2 (>= 3.3.5),,"knitr, rmarkdown, testthat, vdiffr (>= 1.0.2)",,GPL-3 | file LICENSE,,,,,no,4.2.1
gh,/usr/local/lib/R/site-library,1.4.0,,R (>= 3.4),"cli (>= 3.0.1), gitcreds, httr2, ini, jsonlite, rlang (>=
1.0.0)",,"covr, knitr, mockery, rmarkdown, rprojroot, spelling,
testthat (>= 3.0.0), withr",,MIT + file LICENSE,,,,,no,4.2.2
gitcreds,/usr/local/lib/R/site-library,0.1.2,,R (>= 3.4),,,"codetools, covr, knitr, mockery, oskeyring, rmarkdown,
testthat (>= 3.0.0), withr",,MIT + file LICENSE,,,,,no,4.2.1
glmnet,/usr/local/lib/R/site-library,4.1-6,,"R (>= 3.6.0), Matrix (>= 1.0-6)","methods, utils, foreach, shape, survival, Rcpp","RcppEigen, Rcpp","knitr, lars, testthat, xfun, rmarkdown",,GPL-2,,,,,yes,4.2.2
globals,/usr/local/lib/R/site-library,0.16.2,,R (>= 3.1.2),codetools,,,,LGPL (>= 2.1),,,,,no,4.2.2
glue,/usr/local/lib/R/site-library,1.6.2,,R (>= 3.4),methods,,"covr, crayon, DBI, dplyr, forcats, ggplot2, knitr, magrittr,
microbenchmark, R.utils, rmarkdown, rprintf, RSQLite, stringr,
testthat (>= 3.0.0), vctrs (>= 0.3.0), waldo (>= 0.3.0), withr",,MIT + file LICENSE,,,,,yes,4.2.1
gmailr,/usr/local/lib/R/site-library,1.0.1,,R (>= 3.0.0),"base64enc, crayon, gargle, httr, jsonlite, lifecycle,
magrittr, mime, rematch2",,"covr, knitr, methods, rmarkdown, sodium, testthat",,MIT + file LICENSE,,,,,no,4.2.1
goftest,/usr/local/lib/R/site-library,1.2-3,,R (>= 3.3),stats,,,,GPL (>= 2),,,,,yes,4.2.1
gower,/usr/local/lib/R/site-library,1.0.1,,,,,"tinytest (>= 0.9.3),",,GPL-3,,,,,yes,4.2.2
gridExtra,/usr/local/lib/R/site-library,2.3,,,"gtable, grid, grDevices, graphics, utils",,"ggplot2, egg, lattice, knitr, testthat",,GPL (>= 2),,,,,no,4.2.2
grpreg,/usr/local/lib/R/site-library,3.4.0,,R (>= 3.1.0),Matrix,,"knitr, rmarkdown, splines, survival, tinytest",,GPL-3,,,,,yes,4.2.2
gtable,/usr/local/lib/R/site-library,0.3.1,,R (>= 3.0),grid,,"covr, testthat, knitr, rmarkdown, ggplot2, profvis",,MIT + file LICENSE,,,,,no,4.2.1
gtools,/usr/local/lib/R/site-library,3.9.4,,"methods, stats, utils",,,"car, gplots, knitr, rstudioapi, SGP, taxize",,GPL-2,,,,,yes,4.2.2
hardhat,/usr/local/lib/R/site-library,1.2.0,,R (>= 3.4.0),"glue (>= 1.6.2), rlang (>= 1.0.3), tibble (>= 3.1.7), vctrs
(>= 0.4.1)",,"covr, crayon, devtools, knitr, Matrix, modeldata (>= 0.0.2),
recipes (>= 0.1.8), rmarkdown (>= 2.3), roxygen2, testthat (>=
3.0.0), usethis (>= 2.1.5)",,MIT + file LICENSE,,,,,no,4.2.1
hexbin,/usr/local/lib/R/site-library,1.28.2,,"R (>= 2.0.1), methods","lattice, grid, graphics, grDevices, stats, utils",,"marray, affy, Biobase, limma, knitr",,GPL-2,,,,,yes,4.2.1
highr,/usr/local/lib/R/site-library,0.10,,R (>= 3.3.0),xfun (>= 0.18),,"knitr, markdown, testit",,GPL,,,,,no,4.2.2
Hmisc,/usr/local/lib/R/site-library,4.7-1,,"lattice, survival (>= 3.1-6), Formula, ggplot2 (>= 2.2)","methods, latticeExtra, cluster, rpart, nnet, foreign, gtable,
grid, gridExtra, data.table, htmlTable (>= 1.11.0), viridis,
htmltools, base64enc",,"acepack, chron, rms, mice, tables, knitr, plotly (>= 4.5.6),
rlang, plyr, VGAM",,GPL (>= 2),,,,,yes,4.2.1
htmlTable,/usr/local/lib/R/site-library,2.4.1,,,"stringr, knitr (>= 1.6), magrittr (>= 1.5), methods,
checkmate, htmlwidgets, htmltools, rstudioapi (>= 0.6)",,"testthat, XML, xml2, Hmisc, reshape, rmarkdown, chron,
lubridate, tibble, purrr, tidyselect, glue, rlang, tidyr (>=
0.7.2), dplyr (>= 0.7.4)",,GPL (>= 3),,,,,no,4.2.1
htmltools,/usr/local/lib/R/site-library,0.5.4,,R (>= 2.14.1),"utils, digest, grDevices, base64enc, rlang (>= 0.4.10),
fastmap (>= 1.1.0), ellipsis",,"markdown, testthat, withr, Cairo, ragg, shiny",knitr,GPL (>= 2),,,,,yes,4.2.1
htmlwidgets,/usr/local/lib/R/site-library,1.6.1,,,"grDevices, htmltools (>= 0.5.4), jsonlite (>= 0.9.16), yaml,
knitr (>= 1.8), rmarkdown",,testthat,shiny (>= 1.1),MIT + file LICENSE,,,,,no,4.2.2
httpcode,/usr/local/lib/R/site-library,0.3.0,,,,,testthat,,MIT + file LICENSE,,,,,no,4.2.1
httpuv,/usr/local/lib/R/site-library,1.6.7,,R (>= 2.15.1),"Rcpp (>= 1.0.7), utils, R6, promises, later (>= 0.8.0)","Rcpp, later","testthat, callr, curl, websocket",,GPL (>= 2) | file LICENSE,,,,,yes,4.2.2
httr,/usr/local/lib/R/site-library,1.4.5,,R (>= 3.5),"curl (>= 3.0.0), jsonlite, mime, openssl (>= 0.8), R6",,"covr, httpuv, jpeg, knitr, png, readr, rmarkdown, testthat
(>= 0.8.0), xml2",,MIT + file LICENSE,,,,,no,4.2.2
httr2,/usr/local/lib/R/site-library,0.2.2,,R (>= 3.4),"cli (>= 3.0.0), curl, glue, magrittr, openssl, R6, rappdirs,
rlang (>= 1.0.0), withr",,"askpass, bench, clipr, covr, docopt, httpuv, jose, jsonlite,
knitr, purrr, rmarkdown, testthat (>= 3.0.0), tibble, webfakes,
xml2",,MIT + file LICENSE,,,,,no,4.2.2
hunspell,/usr/local/lib/R/site-library,3.0.2,,R (>= 3.0.2),"Rcpp, digest",Rcpp (>= 0.12.12),"spelling, testthat, pdftools, janeaustenr, wordcloud2, knitr,
stopwords, rmarkdown",,GPL-2 | LGPL-2.1 | MPL-1.1,,,,,yes,4.2.1
imagine,/usr/local/lib/R/site-library,1.5.4,,R (>= 3.1.0),Rcpp,Rcpp,"knitr, rmarkdown",,GPL (>= 2),,,,,yes,4.2.2
ini,/usr/local/lib/R/site-library,0.3.1,,,,,testthat,,GPL-3,,,,,no,4.2.1
